"","element_id","sentence_id","word_count","sentiment","polarity_level"
"372",372,1,19,1.61738092378746,"Positive"
"373",373,1,46,0.595665502865784,"Positive"
"374",374,1,11,0,"Neutral"
"375",375,1,67,0.962695221527685,"Positive"
"376",376,1,104,0.226759281253525,"Positive"
"377",377,1,76,0.940604508869303,"Positive"
"378",378,1,169,0.588461538461538,"Positive"
"379",379,1,61,0.608175179681256,"Positive"
"380",380,1,101,0.402990062035046,"Positive"
"381",381,1,24,1.09614665989547,"Positive"
"382",382,1,34,0.48877096765615,"Positive"
"383",383,1,60,0.496387365538917,"Positive"
"384",384,1,49,0.485714285714286,"Positive"
"385",385,1,89,0.216239567521297,"Positive"
"386",386,1,5,0.559016994374947,"Positive"
"387",387,1,78,0.643982563169739,"Positive"
"388",388,1,46,0.53079104215763,"Positive"
"389",389,1,60,0.750067774715503,"Positive"
"390",390,1,5,0.223606797749979,"Positive"
"391",391,1,51,0.252050415125042,"Positive"
"392",392,1,25,1.23,"Positive"
"393",393,1,21,0.905407848378156,"Positive"
"394",394,1,71,0.295478963348815,"Positive"
"395",395,1,56,0.54788554592047,"Positive"
"396",396,1,379,0.548081085232328,"Positive"
"397",397,1,82,0.480377138425582,"Positive"
"398",398,1,77,0.415899123789449,"Positive"
"399",399,1,60,0.86496628065299,"Positive"
"400",400,1,40,0.276699295264733,"Positive"
"401",401,1,24,0.755259337358147,"Positive"
"402",402,1,33,0.696310623822791,"Positive"
"403",403,1,179,-0.0249643320979146,"Negative"
"404",404,1,63,0.447257959727586,"Positive"
"405",405,1,174,0.602687944645228,"Positive"
"406",406,1,53,0.682791891276143,"Positive"
"407",407,1,32,0.380069894887769,"Positive"
"408",408,1,111,0.982378525603836,"Positive"
"409",409,1,192,0.526832120635534,"Positive"
"410",410,1,107,-0.00290020946713697,"Negative"
"411",411,1,57,0.993399267798783,"Positive"
"412",412,1,110,0.546334063637724,"Positive"
"413",413,1,76,0.418614889593614,"Positive"
"414",414,1,40,1.46366021500893,"Positive"
"415",415,1,171,-0.23706292499958,"Negative"
"416",416,1,47,0.967084893631041,"Positive"
"417",417,1,36,0.358333333333333,"Positive"
"418",418,1,23,0.923718854272841,"Positive"
"419",419,1,24,0.204124145231932,"Positive"
"420",420,1,44,0.629404931806082,"Positive"
"421",421,1,64,0.7,"Positive"
"422",422,1,30,0.365148371670111,"Positive"
"423",423,1,59,0.937360159061932,"Positive"
"424",424,1,109,1.56029901862526,"Positive"
"425",425,1,182,1.08963649549182,"Positive"
"426",426,1,69,0.650083606663154,"Positive"
"427",427,1,27,0.808290376865476,"Positive"
"428",428,1,9,0.6,"Positive"
"429",429,1,85,0.735123088932971,"Positive"
"430",430,1,25,1.288,"Positive"
"431",431,1,17,0.848874687627165,"Positive"
