"","lat","long","census_code","GEOID20","id","price"
"1207",42.32602,-71.11123,"250251207001000","25025120700",42461132,370
"1208",42.28899,-71.0597,"250251006014008","25025100601",42517503,154
"1209",42.31403,-71.05961,"250250911004002","25025091100",42535434,70
"1210",42.34844,-71.08464,"250250107013009","25025010701",42583533,200
"1211",42.32246,-71.06875,"250250906002011","25025090600",42591679,38
"1212",42.32166,-71.06922,"250250906002014","25025090600",42592642,38
"1213",42.38243,-71.03832,"250250501011001","25025050101",42644088,100
"1214",42.349651,-71.149483,"250250006012002","25025000601",42708089,199
"1215",42.349827,-71.149399,"250250006012002","25025000601",42708127,233
"1216",42.35843,-71.05693,"250250303021051","25025030302",42708634,151
"1217",42.32018,-71.05506,"250250907001007","25025090700",42831086,421
"1218",42.32858,-71.08779,"250250806013008","25025080601",42833412,205
"1219",42.3292,-71.08738,"250250806013009","25025080601",42833990,456
"1220",42.3304,-71.08718,"250250806012002","25025080601",42834234,774
"1221",42.33656,-71.07672,"250250711011005","25025071101",42882611,125
"1222",42.34915,-71.06238,"250250702021016","25025070202",42939922,165
"1223",42.31676,-71.05401,"250250911001005","25025091100",42962143,46
"1224",42.3623,-71.13116,"250250001011000","25025000101",42975758,64
"1225",42.36325,-71.13081,"250250008062005","25025000806",42980478,57
"1226",42.31974,-71.07491,"250250904004002","25025090400",43012146,43
"1227",42.34359,-71.07118,"250250705021000","25025070502",43071363,213
